Product_id,Product_name,Product_description_english,Product_description_arabic,Img,Product_page_link,Product_price,Discount,Price_after_discount,Points,Coupon
6524,Harry Potter magic,<p>Porcelain mug with a design made of polymerclay&nbsp;</p> <p>Suitable for cold and hot drinks</p> <p>No microwave and no dishwasher</p> <p>Manual washing from inside only&nbsp;</p>,<p> القدح الخزفي مع تصميم مصنوع من البوليمرات & nbsp ؛ </p> <p> مناسبة للمشروبات الباردة والساخنة </p> <p> لا تستعمل ميكروويف ولا غسالة صحون </p> <p> الغسيل اليدوي من الداخل فقط & nbsp ؛ </p>,https://cdn1.muqbis.com/attachments/05-23/19770.jpg,https://muqbis.com/product/detail/6524/Harry-Potter-magic,300,10,270,50,DropMe
6522,I Solemnly swear i am up to no good,Porcelain mug with a design made of polymerclay Suitable for cold and hot drinks \n No microwave and no dishwasher \n Manual washing from inside only,<p> القدح الخزفي مع تصميم مصنوع من البوليمرات & nbsp ؛ </p> <p> مناسبة للمشروبات الباردة والساخنة </p> <p> لا تستعمل ميكروويف ولا غسالة صحون </p> <p> الغسيل اليدوي من الداخل فقط & nbsp ؛ </p>,https://cdn1.muqbis.com/attachments/05-23/19764.jpg,https://muqbis.com/product/detail/6522/I-Solemnly-swear-i-am-up-to-no-good,260,10,234,50,DropMe
6521,Hermoine granger it's leviosa not leviosaa,Porcelain mug with a design made of polymerclay Suitable for cold and hot drinks \n No microwave and no dishwasher \n Manual washing from inside only,<p> القدح الخزفي مع تصميم مصنوع من البوليمرات & nbsp ؛ </p> <p> مناسبة للمشروبات الباردة والساخنة </p> <p> لا تستعمل ميكروويف ولا غسالة صحون </p> <p> الغسيل اليدوي من الداخل فقط & nbsp ؛ </p>,https://cdn1.muqbis.com/attachments/05-23/19763.jpg,https://muqbis.com/product/detail/6521/Hermoine-granger-it-s-leviosa-not-leviosaa,300,10,270,50,DropMe
6520,Hermoine granger,Porcelain mug with a design made of polymerclay Suitable for cold and hot drinks \n No microwave and no dishwasher \n Manual washing from inside only,<p> القدح الخزفي مع تصميم مصنوع من البوليمرات & nbsp ؛ </p> <p> مناسبة للمشروبات الباردة والساخنة </p> <p> لا تستعمل ميكروويف ولا غسالة صحون </p> <p> الغسيل اليدوي من الداخل فقط & nbsp ؛ </p>,https://cdn1.muqbis.com/attachments/05-23/19762.jpg,https://muqbis.com/product/detail/6520/Hermoine-granger,300,10,270,50,DropMe
6519,"Harry potter ""Griffindor""",Porcelain mug with a design made of polymerclay Suitable for cold and hot drinks \n No microwave and no dishwasher \n Manual washing from inside only,<p> القدح الخزفي مع تصميم مصنوع من البوليمرات & nbsp ؛ </p> <p> مناسبة للمشروبات الباردة والساخنة </p> <p> لا تستعمل ميكروويف ولا غسالة صحون </p> <p> الغسيل اليدوي من الداخل فقط & nbsp ؛ </p>,https://cdn1.muqbis.com/attachments/05-23/19761.jpg,https://muqbis.com/product/detail/6519/Harry-potter--Griffindor-,280,10,252,50,DropMe
6518,Too mush stress,Porcelain mug with a design made of polymerclay Suitable for cold and hot drinks \n No microwave and no dishwasher \n Manual washing from inside only,<p> القدح الخزفي مع تصميم مصنوع من البوليمرات & nbsp ؛ </p> <p> مناسبة للمشروبات الباردة والساخنة </p> <p> لا تستعمل ميكروويف ولا غسالة صحون </p> <p> الغسيل اليدوي من الداخل فقط & nbsp ؛ </p>,https://cdn1.muqbis.com/attachments/05-23/19760.jpg,https://muqbis.com/product/detail/6518/Too-mush-stress,250,10,225,50,DropMe
6514,Friends door,Polymer clay product. Any addition will increase cost. 100% handmade. Great material and finish,منتج طين البوليمر. وأي إضافة ستزيد التكلفة. صناعة يدوية 100%. مادة وصناعة عالية الجودة,https://cdn1.muqbis.com/attachments/05-23/19752.jpg,https://muqbis.com/product/detail/6514/Friends-door,280,10,252,50,DropMe
6513,Doll with bag,Polymer clay product. Any addition will increase cost. 100% handmade. Great material and finish,منتج طين البوليمر. وأي إضافة ستزيد التكلفة. صناعة يدوية 100%. مادة وصناعة عالية الجودة,https://cdn1.muqbis.com/attachments/05-23/19750.jpg,https://muqbis.com/product/detail/6513/Doll-with-bag,330,10,297,50,DropMe
6512,Graduation girl,Polymer clay product. Any addition will increase cost. 100% handmade. Great material and finish,منتج طين البوليمر. وأي إضافة ستزيد التكلفة. صناعة يدوية 100%. مادة وصناعة عالية الجودة,https://cdn1.muqbis.com/attachments/05-23/19749.jpg,https://muqbis.com/product/detail/6512/Graduation-girl,300,10,270,50,DropMe
6511,Coffee large mug,Polymer clay product. Any addition will increase cost. 100% handmade. Great material and finish,منتج طين البوليمر. وأي إضافة ستزيد التكلفة. صناعة يدوية 100%. مادة وصناعة عالية الجودة,https://cdn1.muqbis.com/attachments/05-23/19748.jpg,https://muqbis.com/product/detail/6511/Coffee-large-mug,250,10,225,50,DropMe
